Question,Option1,Option2,Option3,Option4,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,2
What is the chemical symbol for Gold?,Ag,Au,Pb,Fe,2
Which is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4
In which year did World War II end?,1942,1945,1939,1950,2
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,3
Who is known as the Father of Computers?,Alan Turing,Charles Babbage,Thomas Edison,Nikola Tesla,2
Which is the smallest continent by land area?,Europe,Australia,Antarctica,South africa,2

